ticker,fiscal_year,cash_operating_activities,dividends_paid
CACI,2011,231156000,
CACI,2012,271223000,
CACI,2013,249331000,
CACI,2014,203470000,
CACI,2015,226862000,
CACI,2016,242577000,
CACI,2017,281250000,
CACI,2018,325127000,
CACI,2019,555297000,
CAFD,2014,1801000,
CAG,2009,124000000,-348200000
CAG,2010,1472700000,-346700000
CAG,2011,1320800000,-374500000
CAG,2012,1052000000,-388600000
CAG,2013,1412200000,-400700000
CAG,2014,1568600000,-420900000
CAG,2015,1504600000,-425200000
CAG,2016,1259200000,-432500000
CAG,2017,1175500000,-415000000
CAG,2018,954200000,-342300000
CAG,2019,1125500000,-356200000
CAGU,2010,740786,
CAGU,2011,511865,
CAGU,2012,298592,
CAGU,2013,738450,
CAGU,2014,1160374,
CAGU,2015,1248560,
CAGU,2016,1358258,
CAGU,2017,2562119,
CAH,2009,1423900000,-200400000
CAH,2010,2134000000,-253000000
CAH,2011,1395000000,-274000000
CAH,2012,1176000000,-300000000
CAH,2013,1727000000,-353000000
CAH,2014,2524000000,-415000000
CAH,2015,2540000000,-460000000
CAH,2016,2971000000,-512000000
CAH,2017,1184000000,-577000000
CAH,2018,2764000000,-581000000
CAH,2019,2722000000,-577000000
CAKE,2009,198847000,
CAKE,2010,167057000,
CAKE,2011,196064000,
CAKE,2012,195371000,-12762000
CAKE,2013,204785000,-27191000
CAKE,2014,239649000,-30332000
CAKE,2015,247732000,-35969000
CAKE,2016,316381000,-42371000
CAKE,2017,238796000,-49889000
CAKE,2018,291315000,-56251000
CAL,2010,-2312000,-12254000
CAL,2011,48086000,-12076000
CAL,2012,197937000,-12011000
CAL,2013,104032000,-12105000
CAL,2014,118812000,-12237000
CAL,2015,149152000,-12253000
CAL,2016,183622000,-12104000
CAL,2017,191375000,-12027000
CAL,2018,129589000,-11983000
CALA,2013,-11868000,
CALA,2014,-19603000,
CALA,2015,-29792000,
CALA,2016,-31025000,
CALA,2017,13751000,
CALA,2018,-64842000,
CALD,2010,2124000,
CALD,2011,146000,
CALD,2012,-1705000,
CALD,2013,13749000,
CALD,2014,9151000,
CALD,2015,26469000,
CALD,2016,29779000,
CALD,2017,42960000,
CALL,2011,25330000,
CALL,2012,65262000,
CALL,2013,35281000,
CALL,2014,25025000,
CALL,2015,25364000,
CALL,2016,15250000,
CALL,2017,2027000,
CALM,2011,62310000,-24883000
CALM,2012,98058000,-19937000
CALM,2013,57538000,-30524000
CALM,2014,123920000,-24534000
CALM,2015,195330000,-48910000
CALM,2016,388437000,-120942000
CALM,2017,-45918000,0
CALM,2018,200415000,0
CALM,2019,115084000,-41713000
CAMP,2010,857000,
CAMP,2011,12432000,
CAMP,2012,16597000,
CAMP,2013,22816000,
CAMP,2014,28645000,
CAMP,2015,47400000,
CAMP,2016,25796000,
CAMP,2017,66894000,
CAMP,2018,47740000,
CAR,2009,1491000000,
CAR,2010,1640000000,
CAR,2011,1578000000,
CAR,2012,1889000000,
CAR,2013,2253000000,
CAR,2014,2579000000,
CAR,2015,2627000000,
CAR,2016,2640000000,
CAR,2017,2648000000,
CAR,2018,2609000000,
CARG,2016,20004000,
CARG,2017,25691000,
CARG,2018,51723000,
CARS,2016,199153000,
CARS,2017,185929000,
CARS,2018,163548000,
CASA,2017,95008000,-246634000
CASA,2018,98545000,-7325000
CASI,2016,-6023119,
CASI,2017,-6402235,
CASI,2018,-28583928,
CASY,2010,214068000,-17308000
CASY,2011,261443000,-20467000
CASY,2012,294879000,-22849000
CASY,2013,286328000,-24685000
CASY,2014,314160000,-27095000
CASY,2015,348645000,-30175000
CASY,2016,472386000,-33527000
CASY,2017,459273000,-36758000
CASY,2018,419797000,-38780000
CASY,2019,530614000,-41430000
CAT,2007,7955000000,-845000000
CAT,2008,4672000000,-953000000
CAT,2009,6499000000,-1029000000
CAT,2010,5009000000,-1084000000
CAT,2011,6957000000,-1159000000
CAT,2012,5184000000,-1617000000
CAT,2013,10191000000,-1111000000
CAT,2014,8057000000,-1620000000
CAT,2015,6675000000,-1757000000
CAT,2016,5608000000,-1799000000
CAT,2017,5702000000,-1831000000
CAT,2018,6558000000,-1951000000
CATO,2010,79476000,-21216000
CATO,2011,81341000,-25715000
CATO,2012,79310000,-87222000
CATO,2013,92959000,-5853000
CATO,2014,117459000,-33886000
CATO,2015,93853000,-33572000
CATO,2016,72128000,-35432000
CATO,2017,35990000,-33731000
CATO,2018,60244000,-32577000
CATS,2010,-8434000,
CATS,2011,-6839000,
CATS,2012,-6151000,
CATS,2013,-5935000,
CATS,2014,-5273000,
CATS,2015,-5168000,
CATS,2016,-5726000,
CATS,2017,-8869000,
CATS,2018,-8574000,
CAVM,2009,-375000,
CAVM,2010,31906000,
CAVM,2011,25655000,
CAVM,2012,28293000,
CAVM,2013,55834000,
CAVM,2014,60614000,
CAVM,2015,57849000,
CAVM,2016,65498000,
CAVM,2017,145894000,
CBB,2009,265600000,-10400000
CBB,2010,300000000,-10400000
CBB,2011,289900000,-10400000
CBB,2012,212700000,-10400000
CBB,2013,78800000,-10400000
CBB,2014,175200000,-10400000
CBB,2015,111000000,-10400000
CBB,2016,173100000,-10400000
CBB,2017,203400000,-10400000
CBB,2018,214700000,-10400000
CBG,2009,213645000,
CBG,2010,616587000,
CBG,2011,361219000,
CBG,2012,291081000,
CBG,2013,745108000,
CBG,2014,661780000,
CBG,2015,651897000,
CBG,2016,450315000,
CBG,2017,710505000,
CBG,2018,1131249000,
CBI,2009,248763000,
CBI,2010,288406000,
CBI,2011,413155000,-19722000
CBI,2012,202504000,-19394000
CBI,2013,-112836000,-21453000
CBI,2014,264047000,-30246000
CBI,2015,-56214000,-29847000
CBI,2016,654458000,-28733000
CBI,2017,-909353000,-14109000
CBK,2010,7793000,-8552000
CBK,2011,-25880000,-6426000
CBK,2012,-17441000,
CBK,2013,25054000,
CBK,2014,19001000,
CBK,2015,5382000,
CBK,2016,9915000,
CBK,2017,-6745000,
CBK,2018,-21508000,
CBLK,2017,-7678000,
CBLK,2018,-37295000,
CBM,2010,23284000,
CBM,2011,38322000,
CBM,2012,43546000,
CBM,2013,36874000,
CBM,2014,64968000,
CBM,2015,83606000,
CBM,2016,123278000,
CBM,2017,149015000,
CBM,2018,87898000,
CBOE,2010,134913000,-133078000
CBOE,2011,203129000,-40372000
CBOE,2012,200535000,-47828000
CBOE,2013,224380000,-58369000
CBOE,2014,262657000,-66999000
CBOE,2015,245278000,-73431000
CBOE,2016,230962000,-78538000
CBOE,2017,373400000,-118100000
CBOE,2018,530800000,-130300000
CBRL,2010,212106000,-18545000
CBRL,2011,138212000,-19846000
CBRL,2012,219822000,-22372000
CBRL,2013,208499000,-45400000
CBRL,2014,177625000,-71484000
CBRL,2015,334055000,-95699000
CBRL,2016,271378000,-255546000
CBRL,2017,320767000,-196867000
CBRL,2018,330620000,-207155000
CBRL,2019,362796000,-193475000
CBS,2008,2146500000,-705400000
CBS,2009,939000000,-297000000
CBS,2010,1735000000,-142000000
CBS,2011,1749000000,-206000000
CBS,2012,1815000000,-276000000
CBS,2013,1873000000,-300000000
CBS,2014,1275000000,-292000000
CBS,2015,1394000000,-300000000
CBS,2016,1685000000,-288000000
CBS,2017,887000000,-296000000
CBS,2018,1426000000,-276000000
CC,2014,505000000,0
CC,2015,182000000,-105000000
CC,2016,594000000,-22000000
CC,2017,639000000,-22000000
CC,2018,1140000000,-148000000
CCE,2008,1618000000,-138000000
CCE,2009,1780000000,-147000000
CCF,2011,9303000,-3131000
CCF,2012,13946000,-3165000
CCF,2013,28157000,-3626000
CCF,2014,28606000,-4093000
CCF,2015,40959000,-5477000
CCF,2016,48833000,-5999000
CCF,2017,51932000,-6532000
CCF,2018,46071000,-7497000
CCF,2019,49535000,-7522000
CCFI,2011,131527000,-120566000
CCFI,2012,123470000,
CCFI,2013,161005000,
CCFI,2014,195184000,-387000
CCFI,2015,195145000,
CCFI,2016,122221000,
CCFI,2017,84391000,
CCH,2016,-41079000,
CCH,2017,-64316000,
CCH,2018,-60162000,
CCI,2008,513001000,-19878000
CCI,2009,571256000,-19878000
CCI,2010,603430000,-19879000
CCI,2011,643454000,-19487000
CCI,2012,772557000,-2481000
CCI,2013,1171059000,0
CCI,2014,1600197000,-668651000
CCI,2015,1794025000,-1160432000
CCI,2016,1782264000,-1283146000
CCI,2017,2044186000,-1538640000
CCI,2018,2502000000,-1895000000
CCK,2009,756000000,
CCK,2010,590000000,
CCK,2011,379000000,
CCK,2012,621000000,
CCK,2013,885000000,
CCK,2014,912000000,
CCK,2015,956000000,
CCK,2016,930000000,
CCK,2017,760000000,
CCK,2018,571000000,
CCL,2008,3391000000,-1261000000
CCL,2009,3342000000,-314000000
CCL,2010,3818000000,-237000000
CCL,2011,3766000000,-671000000
CCL,2012,2999000000,-779000000
CCL,2013,2834000000,-1164000000
CCL,2014,3430000000,-776000000
CCL,2015,4545000000,-816000000
CCL,2016,5134000000,-977000000
CCL,2017,5322000000,-1087000000
CCL,2018,5549000000,-1355000000
CCMP,2009,44697000,
CCMP,2010,88385000,0
CCMP,2011,93566000,0
CCMP,2012,69065000,-347140000
CCMP,2013,85483000,
CCMP,2014,67478000,0
CCMP,2015,98186000,0
CCMP,2016,95211000,-8658000
CCMP,2017,141369000,-19041000
CCMP,2018,168865000,-30730000
CCMP,2019,174981000,-46324000
CCOH,2010,525217000,0
CCOH,2011,517218000,0
CCOH,2012,355138000,-2170396000
CCOH,2013,414640000,-200010000
CCOH,2014,348423000,-175022000
CCOH,2015,298933000,0
CCOH,2016,310824000,-755538000
CCOH,2017,146543000,-332824000
CCOH,2018,187275000,-30678000
CCOI,2010,71477000,
CCOI,2011,75814000,
CCOI,2012,79943000,-9549000
CCOI,2013,81851000,-35352000
CCOI,2014,73046000,-54216000
CCOI,2015,83809000,-66314000
CCOI,2016,107967000,-68210000
CCOI,2017,111702000,-81657000
CCOI,2018,133921000,-97887000
CCS,2013,-67498000,
CCS,2014,-129671000,
CCS,2015,-162734000,
CCS,2016,-45836000,
CCS,2017,-114648000,
CCS,2018,-195578000,
CCXI,2011,3420000,
CCXI,2012,-32227000,
CCXI,2013,-33318000,
CCXI,2014,-34315000,
CCXI,2015,-39327000,
CCXI,2016,39145000,
CCXI,2017,4878000,
CCXI,2018,16436000,
CDE,2009,60147000,
CDE,2010,165563000,
CDE,2011,416173000,
CDE,2012,271634000,
CDE,2013,113967000,
CDE,2014,53548000,
CDE,2015,113542000,
CDE,2016,125817000,
CDE,2017,208456000,
CDE,2018,17418000,
CDI,2010,-4339000,-9900000
CDI,2011,28002000,-9956000
CDI,2012,37137000,-12548000
CDI,2013,16100000,-7589000
CDI,2014,14788000,-10176000
CDI,2015,14265000,-10235000
CDI,2016,13493000,0
CDK,2014,245900000,0
CDK,2015,267900000,-883200000
CDK,2016,320100000,-82300000
CDK,2017,435700000,-80700000
CDK,2018,466400000,-80100000
CDK,2019,483100000,-74800000
CDNA,2013,-546000,
CDNA,2014,-3350000,
CDNS,2010,25637000,
CDNS,2011,240342000,
CDNS,2012,315994000,
CDNS,2013,315994000,
CDNS,2014,316722000,
CDNS,2015,378200000,
CDNS,2016,444879000,
CDNS,2017,470740000,
CDNS,2018,604751000,
CDR,2010,41702000,-31902000
CDR,2011,39098000,-38905000
CDR,2012,50362000,-29184000
CDR,2013,49494000,-28863000
CDR,2014,50885000,-30249000
CDR,2015,59136000,-31409000
CDR,2016,57525000,-31457000
CDR,2017,57526000,-31337000
CDR,2018,57900000,-29577000
CDW,2010,423700000,
CDW,2011,214700000,0
CDW,2012,317400000,0
CDW,2013,366300000,-7300000
CDW,2014,435000000,-33600000
CDW,2015,277500000,-52900000
CDW,2016,604000000,-78700000
CDW,2017,777700000,-106900000
CDW,2018,905900000,-139400000
CE,2008,586000000,-34000000
CE,2009,596000000,-33000000
CE,2010,452000000,-31000000
CE,2011,638000000,-34000000
CE,2012,722000000,-43000000
CE,2013,762000000,-83000000
CE,2014,962000000,-144000000
CE,2015,862000000,-174000000
CE,2016,893000000,-201000000
CE,2017,803000000,-241000000
CE,2018,1558000000,-280000000
CELG,2008,182187000,
CELG,2009,909855000,
CELG,2010,1181556000,
CELG,2011,1776100000,
CELG,2012,2018600000,
CELG,2013,2225900000,
CELG,2014,2806300000,
CELG,2015,2483900000,
CELG,2016,3976300000,
CELG,2017,5246000000,
CELG,2018,5171000000,
CELH,2015,-755155,
CELH,2016,-2363412,
CELH,2017,-8418125,
CELH,2018,-11646420,
CENT,2010,135229000,
CENT,2011,51008000,
CENT,2012,89169000,
CENT,2013,-28282000,
CENT,2014,126467000,
CENT,2015,87449000,
CENT,2016,151426000,
CENT,2017,114309000,
CENT,2018,114112000,
CENT,2019,204974000,
CERN,2009,347291000,
CERN,2010,456444000,
CERN,2011,546294000,
CERN,2012,708314000,
CERN,2013,695865000,
CERN,2014,847027000,
CERN,2015,947526000,
CERN,2016,1155612000,
CERN,2017,1307675000,
CERN,2018,1454009000,
CETX,2010,-968932,
CETX,2011,-101519,
CETX,2012,941396,
CETX,2013,-622958,
CETX,2014,-2342264,
CETX,2015,3879926,
CETX,2016,7895211,0
CETX,2017,1107727,-528637
CETX,2018,-3396311,0
CETX,2019,3935474,
CF,2008,638600000,-22000000
CF,2009,681800000,-19400000
CF,2010,1194400000,-26200000
CF,2011,2078900000,-68700000
CF,2012,2375600000,-102700000
CF,2013,1466800000,-129100000
CF,2014,1421000000,-256000000
CF,2015,1207000000,-282000000
CF,2016,617000000,-280000000
CF,2017,1631000000,-280000000
CF,2018,1497000000,-280000000
CFI,2019,13873000,-4732000
CFMS,2014,-43539000,
CFMS,2015,-54450000,
CFMS,2016,-49132000,
CFMS,2017,-37856000,
CFMS,2018,-26982000,
CGA,2011,33647469,
CGA,2012,6400398,
CGA,2013,32090827,0
CGA,2014,16612352,
CGA,2015,67534917,-2161904
CGA,2016,34358655,
CGA,2017,21713964,
CGA,2018,28137538,
CGA,2019,-71410848,
CGNX,2009,12283000,-11897000
CGNX,2010,76333000,-10014000
CGNX,2011,86275000,-15114000
CGNX,2012,101131000,-66213000
CGNX,2013,95455000,0
CGNX,2014,163841000,0
CGNX,2015,128327000,-18062000
CGNX,2016,182081000,-25213000
CGNX,2017,224323000,-29037000
CGNX,2018,223454000,-31865000
CHD,2009,400900000,-32300000
CHD,2010,428500000,-44000000
CHD,2011,437800000,-97400000
CHD,2012,523600000,-134500000
CHD,2013,499600000,-155200000
CHD,2014,540300000,-167500000
CHD,2015,606100000,-175300000
CHD,2016,655300000,-183000000
CHD,2017,681500000,-190400000
CHD,2018,763600000,-213300000
CHDN,2010,59567000,-6777000
CHDN,2011,213894000,-8165000
CHDN,2012,149494000,-22461000
CHDN,2013,144915000,0
CHDN,2014,141600000,-15200000
CHDN,2015,264500000,-17400000
CHDN,2016,231400000,-19100000
CHDN,2017,215100000,-21500000
CHDN,2018,197800000,-23700000
CHE,2009,160832000,-8157000
CHE,2010,86012000,-11881000
CHE,2011,174343000,-12538000
CHE,2012,131768000,-13026000
CHE,2013,150847000,-14148000
CHE,2014,110279000,-14255000
CHE,2015,171500000,-15605000
CHE,2016,135393000,-16439000
CHE,2017,157229000,-17371000
CHE,2018,287138000,-18662000
CHEF,2010,13524000,-1597000
CHEF,2011,16720000,
CHEF,2012,8391000,
CHEF,2013,10638000,
CHEF,2014,9797000,
CHEF,2015,37727000,
CHEF,2016,38914000,
CHEF,2017,31497000,
CHEF,2018,45082000,
CHGG,2013,63706000,
CHGG,2014,68475000,
CHGG,2015,-82000,
CHGG,2016,24262000,
CHGG,2017,51550000,
CHGG,2018,75113000,
CHJI,2014,-204019,
CHJI,2015,-133138,
CHJI,2016,-115183,
CHK,2008,5357000000,-183000000
CHK,2009,4356000000,-204000000
CHK,2010,5117000000,-281000000
CHK,2011,5903000000,-379000000
CHK,2012,2837000000,-398000000
CHK,2013,4614000000,-404000000
CHK,2014,4634000000,-405000000
CHK,2015,1234000000,-289000000
CHK,2016,-204000000,0
CHK,2017,745000000,-183000000
CHK,2018,2000000000,-92000000
CHKE,2010,12510000,-13460000
CHKE,2011,7360000,-6746000
CHKE,2012,9788000,-5873000
CHKE,2013,8620000,-3361000
CHKE,2014,10369000,-841000
CHKE,2015,11857000,
CHKE,2016,10436000,
CHKE,2017,-11651000,
CHKE,2018,-9940000,
CHNG,2018,3408000,
CHRS,2013,15423000,
CHRS,2014,-23927000,
CHRS,2015,-107990000,
CHRS,2016,-252545000,
CHRS,2017,-200286000,
CHRS,2018,-159266000,
CHRW,2008,447579000,-151195000
CHRW,2009,372571000,-162865000
CHRW,2010,344779000,-168902000
CHRW,2011,429712000,-194697000
CHRW,2012,460342000,-275353000
CHRW,2013,347777000,-220257000
CHRW,2014,513426000,-215008000
CHRW,2015,718336000,-235615000
CHRW,2016,529408000,-245430000
CHRW,2017,384001000,-258222000
CHRW,2018,792896000,-265219000
CHSP,2010,12199000,-1862000
CHSP,2011,36708000,-22936000
CHSP,2012,67737000,-31658000
CHSP,2013,99962000,-54204000
CHSP,2014,119634000,-68580000
CHSP,2015,151713000,-90799000
CHSP,2016,159570000,-104168000
CHSP,2017,143535000,-103229000
CHSP,2018,159207000,-95069000
CHTR,2010,1928000000,
CHTR,2011,1737000000,
CHTR,2012,1876000000,
CHTR,2013,2158000000,
CHTR,2014,2359000000,
CHTR,2015,2359000000,
CHTR,2016,8041000000,
CHTR,2017,11954000000,
CHTR,2018,11767000000,
CHWY,2018,-13415000,
CIDM,2010,30075000,
CIDM,2011,39938000,
CIDM,2012,29369000,
CIDM,2013,39594000,
CIDM,2014,9211000,
CIDM,2015,25504000,
CIDM,2016,31699000,
CIDM,2017,22397000,
CIDM,2018,11088000,
CIE,2010,-133264000,
CIE,2011,-57795000,
CIE,2012,-140397000,
CIE,2013,-216368000,
CIE,2014,-61760000,
CIE,2015,-1646000,
CIE,2016,-165665000,
CIE,2017,-244511000,
CIEN,2009,7421000,
CIEN,2010,-229010000,
CIEN,2011,-90485000,
CIEN,2012,107089000,
CIEN,2013,44678000,
CIEN,2014,89816000,
CIEN,2015,262112000,
CIEN,2016,289520000,
CIEN,2017,234882000,
CIEN,2018,229261000,
CIK,2012,202853000,0
CIK,2013,262242000,-41664000
CIK,2014,550710000,-101606000
CIK,2015,372911000,-111758000
CIK,2016,487504000,-122850000
CIK,2017,415953000,-140738000
CIK0001446,2010,-6523466,
CIK0001446,2011,2070889,
CIK0001446,2012,6062059,
CIK0001446,2013,11072837,
CIK0001446,2014,12772026,
CIK0001446,2015,11765953,
CIK0001446,2016,9663702,
CIK0001446,2017,2434246,
CK00007861,2012,91545000,-12200000
CK00007861,2013,73794000,-3273000
CK00007861,2014,74871000,-7564000
CK00007861,2015,-21758000,-153000
CK00007861,2016,29140000,-11000
CK00011568,2010,1018218000,
CK00011568,2011,916060000,
CK00011568,2012,832612000,
CK00015503,2013,66574000,
CK00015503,2014,35331000,
CK00015503,2015,48856000,
CK00015503,2016,33941000,
CK00015503,2017,17078000,
CK00016800,2016,-4129000,
CK00016800,2017,-12948000,
CK00016800,2018,-19244000,
CKP,2009,113045000,
CKP,2010,11727000,
CKP,2011,-20073000,
CKP,2012,62365000,
CKP,2013,21070000,0
CKP,2014,65542000,0
CKP,2015,37495000,-20980000
CL,2008,2302000000,-889000000
CL,2009,3277000000,-981000000
CL,2010,3211000000,-1142000000
CL,2011,2896000000,-1203000000
CL,2012,3196000000,-1277000000
CL,2013,3204000000,-1382000000
CL,2014,3298000000,-1446000000
CL,2015,2949000000,-1493000000
CL,2016,3141000000,-1508000000
CL,2017,3054000000,-1529000000
CL,2018,3056000000,-1591000000
CLAR,2010,-13751000,
CLAR,2011,-5067000,
CLAR,2012,-3441000,
CLAR,2013,7471000,
CLAR,2014,-28675000,
CLAR,2015,3669000,
CLAR,2016,4810000,
CLAR,2017,-8920000,
CLAR,2018,11393000,-1488000
CLBS,2018,-19986000,
CLC,2015,153745000,-40972000
CLC,2016,285398000,-44375000
CLCT,2011,10568000,-9944000
CLCT,2012,10787000,-10355000
CLCT,2013,9054000,-10801000
CLCT,2014,12116000,-10731000
CLCT,2015,10604000,-11361000
CLCT,2016,8732000,-12008000
CLCT,2017,12184000,-11912000
CLCT,2018,11657000,-9083000
CLCT,2019,17520000,-6479000
CLDR,2016,-116561000,
CLDR,2017,-42268000,
CLDR,2018,34273000,
CLF,2008,853200000,-36100000
CLF,2009,185700000,-31900000
CLF,2010,1320000000,-68900000
CLF,2011,2288800000,-118900000
CLF,2012,514500000,-307200000
CLF,2013,1145900000,-127600000
CLF,2014,358900000,-143700000
CLF,2015,37900000,-51200000
CLF,2016,303000000,0
CLF,2017,338100000,0
CLF,2018,478500000,
CLFD,2010,629345,
CLFD,2011,5297219,
CLFD,2012,3826331,
CLFD,2013,4339056,
CLFD,2014,11528751,
CLFD,2015,6848220,
CLFD,2016,11552751,
CLFD,2017,6298053,
CLFD,2018,4547540,
CLFD,2019,14732653,
CLH,2009,93270000,
CLH,2010,224108000,
CLH,2011,179531000,
CLH,2012,324365000,
CLH,2013,415839000,
CLH,2014,297366000,
CLH,2015,396383000,
CLH,2016,259624000,
CLH,2017,285698000,
CLH,2018,373210000,
CLNE,2010,-10703000,
CLNE,2011,-27136000,
CLNE,2012,-19756000,
CLNE,2013,-4694000,
CLNE,2014,-76005000,
CLNE,2015,-7962000,
CLNE,2016,49541000,
CLNE,2017,-14695000,
CLNE,2018,37982000,
CLNT,2010,14666900,
CLNT,2011,10448419,
CLNT,2012,10634772,
CLNT,2013,11468541,
CLNT,2014,12158014,
CLNT,2015,11731282,
CLNT,2016,-15949810,
CLNT,2017,-409791,
CLNT,2018,-2457420,
CLR,2009,372986000,-41000
CLR,2010,653167000,-2000
CLR,2011,1067915000,
CLR,2012,1632065000,
CLR,2013,2563295000,
CLR,2014,3355715000,
CLR,2015,1857101000,
CLR,2016,1125919000,
CLR,2017,2079106000,
CLR,2018,3456008000,
CLRB,2010,-3382447,
CLRB,2011,-5970090,
CLRB,2012,-6585024,
CLRB,2013,-9154644,
CLRB,2014,-8840479,
CLRB,2015,-8212980,
CLRB,2016,-8282218,
CLRB,2017,-11020301,
CLRB,2018,-11442092,
CLX,2009,738000000,-258000000
CLX,2010,819000000,-282000000
CLX,2011,698000000,-303000000
CLX,2012,612000000,-315000000
CLX,2013,775000000,-335000000
CLX,2014,767000000,-368000000
CLX,2015,874000000,-385000000
CLX,2016,778000000,-398000000
CLX,2017,868000000,-412000000
CLX,2018,974000000,-450000000
CLX,2019,992000000,-490000000
CMBG,2013,-8455364,
CMBG,2014,-9728042,
CMBG,2015,-11751098,
CMBG,2016,-15867735,
CMBG,2017,-18593392,
CMBG,2018,-34935895,
CMBM,2018,-10395000,
CMC,2010,44910000,-54489000
CMC,2011,27747000,-55177000
CMC,2012,195993000,-55617000
CMC,2013,147732000,-56028000
CMC,2014,136940000,-56428000
CMC,2015,313461000,-55945000
CMC,2016,586865000,-55342000
CMC,2017,-523276000,-55514000
CMC,2018,-433924000,-56076000
CMC,2019,37004000,-56537000
CMCO,2010,3280000,
CMCO,2011,23587000,
CMCO,2012,42378000,
CMCO,2013,29507000,
CMCO,2014,38254000,-3192000
CMCO,2015,52645000,-3212000
CMCO,2016,60450000,-3326000
CMCO,2017,69661000,-3658000
CMCO,2018,79499000,-4652000
CMCSA,2008,10231000000,-547000000
CMCSA,2009,10281000000,-761000000
CMCSA,2010,11179000000,-1064000000
CMCSA,2011,14345000000,-1187000000
CMCSA,2012,14854000000,-1608000000
CMCSA,2013,14160000000,-1964000000
CMCSA,2014,16945000000,-2254000000
CMCSA,2015,18778000000,-2437000000
CMCSA,2016,19240000000,-2601000000
CMCSA,2017,21403000000,-2883000000
CMCSA,2018,24297000000,-3352000000
CMD,2011,28198000,-2064000
CMD,2012,50580000,-2523000
CMD,2013,51494000,-3016000
CMD,2014,64272000,-3721000
CMD,2015,59070000,-4154000
CMD,2016,80268000,-5005000
CMD,2017,108193000,-5841000
CMD,2018,125912000,-7091000
CMD,2019,66931000,-8350000
CME,2008,1197200000,-615200000
CME,2009,1083100000,-305600000
CME,2010,1359600000,-305300000
CME,2011,1346300000,-372800000
CME,2012,1219700000,-1224300000
CME,2013,1280500000,-599100000
CME,2014,1291400000,-1496800000
CME,2015,1515300000,-1343400000
CME,2016,1716000000,-1787200000
CME,2017,1840400000,-1993500000
CME,2018,2440800000,-2149900000
CMG,2009,260673000,
CMG,2010,289191000,
CMG,2011,411096000,
CMG,2012,419963000,
CMG,2013,528780000,
CMG,2014,682067000,
CMG,2015,683316000,
CMG,2016,349242000,
CMG,2017,467105000,
CMG,2018,621552000,
CMI,2008,987000000,-122000000
CMI,2009,1137000000,-141000000
CMI,2010,1006000000,-172000000
CMI,2011,2073000000,-255000000
CMI,2012,1532000000,-340000000
CMI,2013,2089000000,-420000000
CMI,2014,2266000000,-512000000
CMI,2015,2059000000,-622000000
CMI,2016,1935000000,-676000000
CMI,2017,2277000000,-701000000
CMI,2018,2378000000,-718000000
CMLS,2010,42553000,
CMLS,2011,71751000,-521000
CMLS,2012,179490000,-15017000
CMLS,2013,121141000,-9395000
CMLS,2014,136796000,
CMLS,2015,82432000,
CMLS,2016,35745000,
CMLS,2017,86596000,
CMP,2009,118900000,-47200000
CMP,2010,241200000,-52000000
CMP,2011,252300000,-60100000
CMP,2012,151700000,-66300000
CMP,2013,238300000,-73100000
CMP,2014,242900000,-80700000
CMP,2015,137900000,-89400000
CMP,2016,167300000,-94100000
CMP,2017,146900000,-97500000
CMP,2018,190700000,-97700000
CMPR,2010,143897000,
CMPR,2011,162633000,
CMPR,2012,140641000,
CMPR,2013,140012000,
CMPR,2014,149110000,
CMPR,2015,242022000,
CMPR,2016,247358000,
CMPR,2017,156736000,
CMPR,2018,192332000,
CMPR,2019,331095000,
CMRO,2010,-3212000,
CMRO,2011,-4289000,
CMRO,2012,-2712000,
CMRO,2013,443000,
CMRO,2014,2467000,
CMRO,2015,-1388000,
CMRO,2016,-139000,
CMS,2009,848000000,-125000000
CMS,2010,959000000,-162000000
CMS,2011,1169000000,-211000000
CMS,2012,1241000000,-252000000
CMS,2013,1421000000,-273000000
CMS,2014,1481000000,-295000000
CMS,2015,1640000000,-322000000
CMS,2016,1629000000,-347000000
CMS,2017,1705000000,-377000000
CMS,2018,1703000000,-407000000
CMTL,2010,124520000,0
CMTL,2011,97360000,-20135000
CMTL,2012,53493000,-22625000
CMTL,2013,37695000,-18879000
CMTL,2014,34588000,-18677000
CMTL,2015,21726000,-19426000
CMTL,2016,14970000,-19406000
CMTL,2017,66655000,-18872000
CMTL,2018,50344000,-9538000
CMTL,2019,68031000,-9789000
CNA,2010,-89000000,-76000000
CNA,2011,1702000000,-108000000
CNA,2012,1250000000,-162000000
CNA,2013,1204000000,-216000000
CNA,2014,1440000000,-541000000
CNA,2015,1387000000,-811000000
CNA,2016,1416000000,-813000000
CNA,2017,1254000000,-842000000
CNA,2018,1227000000,-896000000
CNC,2009,248195000,
CNC,2010,168932000,
CNC,2011,261696000,
CNC,2012,279000000,
CNC,2013,382000000,
CNC,2014,1223000000,
CNC,2015,658000000,
CNC,2016,1851000000,
CNC,2017,1489000000,
CNC,2018,1234000000,
CNDT,2015,493000000,
CNDT,2016,108000000,
CNDT,2017,302000000,
CNDT,2018,283000000,
CNK,2010,264751000,-84502000
CNK,2011,391201000,-95838000
CNK,2012,395205000,-96367000
CNK,2013,309666000,-106045000
CNK,2014,454634000,-115625000
CNK,2015,455871000,-115863000
CNK,2016,451834000,-125490000
CNK,2017,528477000,-135079000
CNK,2018,556915000,-149492000
CNNX,2013,34514000,0
CNNX,2014,84694000,0
CNNX,2015,116017000,-52094000
CNNX,2016,160089000,-59690000
CNNX,2017,155550000,-77117000
CNNX,2018,180115000,-94044000
